id,Target
76518,Graduate
76519,Enrolled
76520,Graduate
76521,Enrolled
76522,Enrolled
76523,Graduate
76524,Dropout
76525,Graduate
76526,Enrolled
76527,Dropout
76528,Graduate
76529,Graduate
76530,Graduate
76531,Dropout
76532,Graduate
76533,Enrolled
76534,Enrolled
76535,Dropout
76536,Graduate
76537,Dropout
76538,Enrolled
76539,Graduate
76540,Graduate
76541,Graduate
76542,Graduate
76543,Graduate
76544,Graduate
76545,Graduate
76546,Dropout
76547,Dropout
76548,Graduate
76549,Dropout
76550,Graduate
76551,Dropout
76552,Enrolled
76553,Graduate
76554,Graduate
76555,Graduate
76556,Graduate
76557,Graduate
76558,Graduate
76559,Enrolled
76560,Graduate
76561,Graduate
76562,Graduate
76563,Enrolled
76564,Graduate
76565,Graduate
76566,Enrolled
76567,Dropout
76568,Enrolled
76569,Enrolled
76570,Dropout
76571,Graduate
76572,Graduate
76573,Graduate
76574,Graduate
76575,Graduate
76576,Graduate
76577,Graduate
76578,Graduate
76579,Graduate
76580,Graduate
76581,Enrolled
76582,Graduate
76583,Dropout
76584,Dropout
76585,Enrolled
76586,Enrolled
76587,Graduate
76588,Graduate
76589,Enrolled
76590,Dropout
76591,Graduate
76592,Graduate
76593,Dropout
76594,Graduate
76595,Enrolled
76596,Graduate
76597,Graduate
76598,Graduate
76599,Graduate
76600,Enrolled
76601,Graduate
76602,Graduate
76603,Enrolled
76604,Graduate
76605,Dropout
76606,Graduate
76607,Enrolled
76608,Graduate
76609,Graduate
76610,Graduate
76611,Graduate
76612,Graduate
76613,Dropout
76614,Graduate
76615,Graduate
76616,Dropout
76617,Enrolled
76618,Graduate
76619,Dropout
76620,Enrolled
76621,Graduate
76622,Graduate
76623,Enrolled
76624,Enrolled
76625,Graduate
76626,Graduate
76627,Enrolled
76628,Enrolled
76629,Graduate
76630,Graduate
76631,Graduate
76632,Graduate
76633,Graduate
76634,Dropout
76635,Graduate
76636,Enrolled
76637,Enrolled
76638,Graduate
76639,Enrolled
76640,Dropout
76641,Graduate
76642,Enrolled
76643,Graduate
76644,Enrolled
76645,Enrolled
76646,Graduate
76647,Dropout
76648,Enrolled
76649,Dropout
76650,Graduate
76651,Graduate
76652,Enrolled
76653,Graduate
76654,Enrolled
76655,Graduate
76656,Graduate
76657,Graduate
76658,Graduate
76659,Enrolled
76660,Enrolled
76661,Enrolled
76662,Enrolled
76663,Graduate
76664,Enrolled
76665,Dropout
76666,Enrolled
76667,Graduate
76668,Graduate
76669,Graduate
76670,Graduate
76671,Enrolled
76672,Graduate
76673,Enrolled
76674,Enrolled
76675,Graduate
76676,Graduate
76677,Enrolled
76678,Graduate
76679,Dropout
76680,Enrolled
76681,Graduate
76682,Graduate
76683,Graduate
76684,Graduate
76685,Enrolled
76686,Enrolled
76687,Enrolled
76688,Enrolled
76689,Graduate
76690,Enrolled
76691,Dropout
76692,Graduate
76693,Graduate
76694,Enrolled
76695,Enrolled
76696,Enrolled
76697,Graduate
76698,Enrolled
76699,Graduate
76700,Enrolled
76701,Enrolled
76702,Enrolled
76703,Graduate
76704,Dropout
76705,Graduate
76706,Enrolled
76707,Dropout
76708,Graduate
76709,Enrolled
76710,Dropout
76711,Graduate
76712,Enrolled
76713,Graduate
76714,Dropout
76715,Enrolled
76716,Graduate
76717,Dropout
76718,Dropout
76719,Graduate
76720,Enrolled
76721,Graduate
76722,Graduate
76723,Dropout
76724,Graduate
76725,Graduate
76726,Enrolled
76727,Graduate
76728,Dropout
76729,Graduate
76730,Enrolled
76731,Graduate
76732,Graduate
76733,Graduate
76734,Enrolled
76735,Graduate
76736,Enrolled
76737,Dropout
76738,Enrolled
76739,Graduate
76740,Enrolled
76741,Enrolled
76742,Enrolled
76743,Graduate
76744,Graduate
76745,Graduate
76746,Enrolled
76747,Graduate
76748,Graduate
76749,Graduate
76750,Enrolled
76751,Graduate
76752,Graduate
76753,Dropout
76754,Graduate
76755,Graduate
76756,Graduate
76757,Enrolled
76758,Enrolled
76759,Enrolled
76760,Graduate
76761,Graduate
76762,Enrolled
76763,Enrolled
76764,Enrolled
76765,Graduate
76766,Enrolled
76767,Graduate
76768,Graduate
76769,Graduate
76770,Enrolled
76771,Graduate
76772,Enrolled
76773,Graduate
76774,Graduate
76775,Graduate
76776,Graduate
76777,Graduate
76778,Graduate
76779,Graduate
76780,Graduate
76781,Enrolled
76782,Enrolled
76783,Graduate
76784,Graduate
76785,Dropout
76786,Graduate
76787,Enrolled
76788,Graduate
76789,Graduate
76790,Graduate
76791,Graduate
76792,Enrolled
76793,Graduate
76794,Graduate
76795,Graduate
76796,Enrolled
76797,Graduate
76798,Graduate
76799,Graduate
76800,Enrolled
76801,Graduate
76802,Graduate
76803,Enrolled
76804,Graduate
76805,Graduate
76806,Enrolled
76807,Graduate
76808,Graduate
76809,Graduate
76810,Enrolled
76811,Enrolled
76812,Graduate
76813,Enrolled
76814,Graduate
76815,Enrolled
76816,Graduate
76817,Dropout
76818,Graduate
76819,Graduate
76820,Graduate
76821,Graduate
76822,Enrolled
76823,Dropout
76824,Enrolled
76825,Dropout
76826,Graduate
76827,Enrolled
76828,Enrolled
76829,Graduate
76830,Dropout
76831,Dropout
76832,Graduate
76833,Graduate
76834,Graduate
76835,Graduate
76836,Dropout
76837,Graduate
76838,Enrolled
76839,Graduate
76840,Graduate
76841,Graduate
76842,Graduate
76843,Enrolled
76844,Graduate
76845,Graduate
76846,Graduate
76847,Graduate
76848,Graduate
76849,Graduate
76850,Graduate
76851,Graduate
76852,Graduate
76853,Graduate
76854,Enrolled
76855,Graduate
76856,Graduate
76857,Dropout
76858,Enrolled
76859,Graduate
76860,Enrolled
76861,Enrolled
76862,Graduate
76863,Dropout
76864,Enrolled
76865,Dropout
76866,Graduate
76867,Dropout
76868,Graduate
76869,Graduate
76870,Graduate
76871,Graduate
76872,Graduate
76873,Graduate
76874,Enrolled
76875,Enrolled
76876,Graduate
76877,Enrolled
76878,Dropout
76879,Graduate
76880,Enrolled
76881,Dropout
76882,Graduate
76883,Enrolled
76884,Dropout
76885,Enrolled
76886,Graduate
76887,Enrolled
76888,Graduate
76889,Enrolled
76890,Graduate
76891,Graduate
76892,Graduate
76893,Graduate
76894,Enrolled
76895,Graduate
76896,Graduate
76897,Graduate
76898,Graduate
76899,Graduate
76900,Graduate
76901,Graduate
76902,Enrolled
76903,Graduate
76904,Enrolled
76905,Dropout
76906,Graduate
76907,Enrolled
76908,Graduate
76909,Enrolled
76910,Graduate
76911,Graduate
76912,Graduate
76913,Graduate
76914,Dropout
76915,Dropout
76916,Graduate
76917,Enrolled
76918,Enrolled
76919,Graduate
76920,Dropout
76921,Graduate
76922,Graduate
76923,Enrolled
76924,Graduate
76925,Dropout
76926,Enrolled
76927,Graduate
76928,Graduate
76929,Graduate
76930,Enrolled
76931,Dropout
76932,Graduate
76933,Graduate
76934,Enrolled
76935,Graduate
76936,Enrolled
76937,Dropout
76938,Enrolled
76939,Graduate
76940,Enrolled
76941,Graduate
76942,Graduate
76943,Graduate
76944,Graduate
76945,Graduate
76946,Graduate
76947,Graduate
76948,Dropout
76949,Enrolled
76950,Graduate
76951,Dropout
76952,Graduate
76953,Enrolled
76954,Graduate
76955,Dropout
76956,Graduate
76957,Graduate
76958,Graduate
76959,Graduate
76960,Graduate
