Marital status,Nacionality,Target
1,1,1
1,1,2
1,1,2
1,1,3
1,1,1
1,1,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,2
1,1,3
2,1,2
1,1,2
1,1,1
1,1,2
1,1,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
2,1,1
1,1,3
1,1,3
2,1,1
1,1,2
1,1,1
1,1,2
1,1,2
1,1,1
2,1,3
1,1,2
1,1,2
1,26,2
1,1,3
1,1,2
1,1,1
1,1,2
1,1,2
1,1,2
1,1,2
2,1,2
1,1,1
1,1,1
1,1,2
1,1,2
1,1,2
1,1,3
1,1,1
1,1,1
1,1,2
1,1,1
1,1,3
1,1,3
2,1,2
1,1,2
1,1,3
1,1,2
4,1,2
4,1,1
1,1,2
2,1,3
1,1,1
1,1,3
1,1,2
1,1,1
1,1,1
1,1,1
1,1,2
2,1,1
1,1,2
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,3
2,1,2
1,1,1
2,1,1
1,1,2
1,1,3
1,1,2
1,1,1
1,1,3
1,1,3
1,1,1
1,1,2
1,1,2
1,1,1
1,1,1
2,1,3
1,1,1
1,1,2
1,1,1
2,1,2
1,1,2
1,1,1
1,1,3
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,3
1,1,1
1,1,3
1,1,1
1,1,2
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,3
1,1,1
1,1,3
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,2
1,1,2
1,1,3
1,1,1
1,1,2
1,1,3
2,1,2
1,1,2
1,1,2
1,1,2
2,1,2
1,1,2
1,1,1
1,1,1
2,1,3
4,1,1
1,1,2
1,1,3
1,1,2
1,1,2
2,1,2
1,1,3
1,1,1
1,1,1
1,1,2
1,1,2
1,1,1
1,1,1
1,1,3
1,1,1
1,1,3
1,1,1
1,1,3
1,1,1
2,1,1
1,1,3
1,1,2
1,1,3
1,1,1
1,1,3
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,1
2,1,3
1,1,2
1,1,3
1,1,2
2,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,1
2,1,2
1,1,1
1,1,2
1,1,2
1,1,3
1,1,3
1,1,1
1,1,1
1,1,3
1,1,2
2,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,3
1,1,1
1,1,2
1,1,3
1,1,1
1,1,3
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
2,1,2
1,1,2
1,1,2
1,1,1
1,1,2
1,1,2
2,1,2
1,1,3
1,1,3
1,1,3
1,1,1
1,1,3
1,1,1
2,1,1
1,1,2
2,1,1
1,1,1
1,1,3
1,1,3
1,1,2
2,1,1
1,1,1
1,1,3
1,1,2
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
2,1,2
4,1,2
2,1,2
1,1,2
1,1,1
1,1,1
1,1,3
1,1,2
1,1,2
1,1,2
1,1,3
1,1,1
1,1,2
1,1,3
1,1,1
1,1,2
1,1,3
1,1,3
1,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,1
1,1,1
1,1,1
1,1,2
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,1
1,1,1
1,1,2
1,1,3
1,1,2
1,1,2
1,1,1
2,1,2
1,1,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,3
1,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,3
1,1,3
1,1,2
1,1,1
1,1,1
1,1,1
1,1,3
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,3
2,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,41,3
1,1,1
1,1,1
1,1,3
1,1,3
2,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,2
1,1,2
1,1,1
1,1,2
1,1,1
1,1,3
1,1,1
1,1,1
2,1,1
1,1,3
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,1
1,1,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,3
2,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
2,1,2
1,1,2
1,1,3
1,1,1
1,1,2
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
2,1,2
1,1,1
1,1,3
1,1,1
1,1,1
1,1,2
1,1,3
1,1,3
1,1,2
2,1,1
1,1,1
1,1,2
1,1,2
1,1,1
1,1,2
1,1,2
1,1,3
1,1,3
1,1,1
1,1,2
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
2,1,2
2,1,3
1,1,1
1,1,3
2,1,2
1,1,2
2,1,2
1,1,3
1,1,1
1,1,2
1,1,1
1,1,2
1,1,2
1,1,1
1,1,1
1,1,3
1,1,1
1,1,2
1,1,3
1,1,1
1,1,2
2,1,1
1,1,3
1,1,3
1,1,3
1,1,1
1,1,2
1,1,2
1,1,1
1,1,1
2,1,2
1,1,2
1,1,2
1,1,1
1,1,2
1,1,1
1,1,3
1,1,1
1,1,2
1,1,2
1,1,1
1,1,3
1,1,2
1,1,1
1,1,2
1,1,1
1,1,2
1,1,1
1,24,2
1,1,2
1,1,1
1,1,1
1,1,2
1,1,3
1,1,2
1,1,1
1,1,1
2,1,1
1,1,1
1,1,2
1,1,2
1,1,1
1,1,1
1,1,3
1,1,1
1,1,3
1,1,2
1,1,1
1,1,2
1,1,2
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,1
1,1,1
1,1,1
2,1,1
2,1,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,2
1,1,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,1
2,1,3
1,1,1
1,1,1
1,1,3
2,1,2
1,1,2
1,1,2
4,1,1
1,1,1
1,1,2
1,1,2
1,1,1
1,1,2
1,1,1
1,1,1
2,1,3
1,1,1
1,1,2
1,1,3
1,1,2
1,1,3
1,1,3
1,1,1
1,1,2
1,1,1
1,1,3
1,1,3
2,1,1
1,1,1
1,1,1
1,1,2
2,1,1
1,1,1
1,1,3
1,1,3
1,1,1
1,1,3
1,1,1
1,1,1
1,1,3
1,1,1
1,1,1
1,1,3
2,1,2
1,1,3
2,1,2
1,1,2
1,1,1
1,1,1
2,1,2
1,1,1
1,1,1
1,1,2
1,1,2
1,1,1
1,1,2
1,1,1
1,1,3
1,1,2
2,1,3
1,1,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,2
2,1,1
2,1,1
1,1,2
1,1,3
1,1,3
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
4,1,2
1,1,1
1,1,2
1,1,3
1,1,2
1,1,2
1,1,3
3,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,3
1,1,1
1,1,3
1,1,2
1,1,2
1,1,3
1,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,1
1,1,3
1,1,2
1,1,2
1,1,3
1,1,1
1,1,2
1,1,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,2
1,1,2
2,1,3
1,1,2
1,1,1
1,1,3
1,1,1
1,1,1
1,1,3
2,1,1
1,1,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,3
1,1,1
1,1,1
1,1,1
2,1,1
1,1,1
1,1,1
1,1,3
1,1,1
1,1,2
1,1,3
1,1,1
1,6,2
1,1,1
1,1,2
2,1,2
1,1,1
1,1,1
1,1,1
2,1,2
1,1,3
1,1,3
1,1,2
2,1,2
1,1,1
1,1,1
1,1,1
1,1,3
1,1,1
1,1,2
1,1,1
1,1,1
1,1,2
1,1,2
1,1,1
1,1,3
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,3
1,1,1
1,1,3
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,2
1,1,2
1,1,1
1,100,1
1,1,3
1,1,1
2,1,2
1,1,3
1,1,1
2,1,1
1,1,1
1,1,1
1,1,3
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,2
1,1,2
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,2
1,1,1
1,1,2
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,1
1,1,1
1,1,3
1,1,2
1,1,1
1,1,2
2,1,2
1,1,1
1,1,2
1,1,1
1,1,2
1,1,3
1,1,2
1,1,1
1,1,2
1,1,2
1,1,3
1,1,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,2
1,1,3
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,3
1,1,3
1,1,2
1,1,1
1,1,1
4,1,2
1,1,3
1,1,1
1,1,2
1,1,2
1,1,2
1,1,1
1,1,1
1,1,3
2,1,3
1,1,2
1,1,3
1,1,1
1,1,1
1,1,2
1,1,2
1,1,1
1,1,1
1,1,3
1,1,2
1,26,2
1,1,2
1,1,1
1,1,3
4,1,2
1,1,1
1,1,1
1,1,1
1,1,2
1,1,3
1,1,2
1,1,3
1,1,3
1,1,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,1
2,1,1
1,1,1
1,1,3
1,1,1
1,1,2
1,1,1
1,1,3
1,1,2
1,1,1
1,1,1
2,1,3
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,3
1,1,2
1,1,1
1,1,1
1,1,3
1,1,1
1,1,3
1,1,1
1,1,3
2,1,2
1,1,1
1,1,3
1,1,1
1,1,3
1,1,1
1,1,1
1,1,1
1,1,3
1,1,2
1,1,2
1,1,3
1,1,1
1,1,1
1,1,1
1,1,3
2,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,2
1,1,2
4,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,3
1,1,2
1,1,1
1,1,2
1,1,1
1,1,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,1
1,1,3
1,1,2
1,1,2
1,1,2
1,1,3
1,1,2
1,1,3
1,1,1
1,1,1
1,1,2
1,1,2
2,1,1
2,1,2
1,1,3
1,1,2
1,1,2
1,1,1
1,1,2
1,1,1
1,1,1
1,1,3
1,1,2
1,1,1
2,1,2
1,1,2
1,1,1
1,1,2
1,1,2
1,1,1
2,1,3
1,1,1
1,1,2
1,1,2
1,1,2
1,1,3
1,1,2
1,1,2
1,1,1
2,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
2,1,2
1,1,1
4,1,2
1,1,3
1,1,3
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,2
1,1,1
1,1,2
1,1,1
2,1,1
1,1,1
1,1,2
1,1,2
5,1,2
1,1,2
1,1,1
1,1,2
1,1,1
1,1,3
1,1,3
1,1,3
2,1,3
4,1,2
1,1,3
1,1,2
1,1,2
1,1,2
1,1,1
1,1,1
1,1,3
1,1,1
1,1,2
1,1,3
1,1,3
1,1,2
2,1,2
1,1,2
2,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
5,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
4,1,2
1,1,2
1,1,1
1,1,3
1,1,3
1,1,1
1,1,2
1,1,1
1,1,2
1,1,2
1,1,1
1,1,2
1,1,3
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,3
1,1,1
1,1,2
2,41,1
1,1,2
1,1,1
1,1,1
1,1,2
1,1,2
1,1,2
1,1,2
1,1,1
1,41,1
1,1,3
1,1,2
1,1,2
1,1,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,1,3
1,1,1
1,1,2
1,1,2
1,1,3
1,1,1
1,1,1
1,1,1
1,1,2
2,1,2
1,1,2
1,1,2
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,41,2
1,1,1
1,1,3
1,1,2
1,1,2
1,1,3
1,1,3
1,1,1
1,1,2
1,1,1
2,1,3
2,1,2
1,1,1
2,1,2
1,1,1
1,1,1
1,1,2
2,1,2
1,1,2
1,1,1
1,1,3
1,1,3
1,1,3
1,1,3
2,1,2
1,1,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,2
1,1,1
1,1,2
1,1,3
1,1,3
1,1,3
1,1,1
1,1,2
1,1,2
1,1,1
1,1,1
1,1,3
1,1,2
1,1,1
1,1,1
1,1,2
1,1,2
2,1,2
1,1,3
1,1,1
1,1,1
1,1,2
1,1,3
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,1,3
1,1,1
1,1,3
1,1,2
1,1,1
1,1,1
1,1,2
1,1,3
1,1,2
1,1,1
1,1,2
1,1,1
1,1,1
2,1,2
1,1,2
1,1,3
1,1,2
1,1,2
1,1,3
1,1,1
1,1,3
1,1,2
1,1,1
1,1,1
1,1,3
1,1,3
1,1,3
1,1,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,1
1,1,1
1,1,3
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,2
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,3
1,1,3
1,1,2
1,1,1
1,1,2
1,1,1
1,1,1
2,1,3
1,1,1
1,1,2
1,1,2
1,1,2
1,1,1
1,1,2
1,1,1
1,1,3
1,1,2
1,1,1
1,1,2
1,1,2
1,1,1
1,1,3
1,1,1
1,1,2
1,1,1
1,1,2
1,1,1
4,1,1
1,1,2
2,1,2
1,1,1
1,1,1
1,1,3
1,41,2
1,1,3
1,1,1
1,1,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,3
1,1,1
1,1,2
1,1,2
1,1,3
1,1,1
1,1,1
1,1,1
1,21,3
1,1,3
1,1,2
1,1,3
2,1,2
1,1,1
1,1,3
2,1,1
1,1,3
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
2,1,3
1,1,3
1,1,1
1,1,3
1,1,2
1,1,2
1,1,2
1,1,2
1,1,1
1,1,1
1,1,2
1,1,2
1,1,3
4,1,1
1,1,3
1,1,1
1,1,1
1,1,1
1,1,3
1,1,2
1,1,1
1,1,3
1,1,1
1,1,1
1,1,1
2,1,1
1,1,3
1,1,2
1,1,2
1,1,1
1,1,1
1,1,2
1,1,2
1,1,2
1,1,3
1,1,2
1,1,3
1,1,3
1,1,1
1,1,1
1,1,1
1,1,3
1,1,2
1,1,1
1,1,1
1,1,1
2,1,3
1,1,3
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,2
1,1,3
1,1,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,3
1,1,2
1,1,1
1,1,2
2,1,2
1,1,1
1,1,3
1,1,1
1,1,1
1,1,3
1,1,3
1,1,2
